stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
0100053283,bstadmt,"Avonmouth, Avonmouth Way (N-bound)",51.50337,-2.6869,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053283,3
0100053285,bstadjp,"Avonmouth, First Way (W-bound)",51.50268,-2.68921,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053285,3
0100053291,bstampt,"Henbury, Hallen Road (E-bound)",51.50876,-2.63423,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053291,3
0100053293,bstawpd,"Brentry, Lyppincourt Road (N-bound)",51.5132,-2.61982,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053293,3
0100053294,bstawtp,"Brentry, Lyppincourt Road (S-bound)",51.51261,-2.61943,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053294,3
0100053295,bstatgw,"Westbury on Trym, Canford Park (W-bound)",51.49446,-2.62465,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053295,3
0100053296,bstapwt,"Westbury on Trym, Canford Cemetery (E-bound)",51.49482,-2.62659,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053296,3
0100053297,bstaptp,"Westbury on Trym, Canford Cemetery (W-bound)",51.49475,-2.62724,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053297,3
0100053298,bstamwg,"Westbury on Trym, Sandyleaze (W-bound)",51.49478,-2.63131,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053298,3
0100053299,bstamtg,"Henbury, Sandyleaze (E-bound)",51.49475,-2.63295,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053299,3
0100053300,bstamjp,"Westbury on Trym, Churchill Drive (W-bound)",51.49373,-2.63573,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053300,3
0100053301,bstamjg,"Westbury on Trym, Churchill Drive (E-bound)",51.49352,-2.63673,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053301,3
0100053303,bstawag,"Westbury on Trym, Lampeter Road (S-bound)",51.49214,-2.62178,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053303,3
0100053304,bstatwm,"Westbury on Trym, Lampeter Road (N-bound)",51.49203,-2.62197,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053304,3
0100053306,bstapjm,"Ashton Vale, Risdale Road (SW-bound, Unmarked)",51.42983,-2.62745,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053306,3
0100053308,bstgtgj,"Redcliffe, Counterslip (SW-bound)",51.4533,-2.58808,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053308,3
0100053309,bstawga,"Clifton, Northcote Road (NE-bound)",51.46269,-2.62045,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053309,3
0100053311,bstjajt,"Filwood Park, Airport Road (SE-bound)",51.42225,-2.58187,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053311,3
0100053313,bstjgaw,"Filwood Park, Willinton Road (E-bound)",51.42465,-2.57681,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053313,3
